figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/datasets/MPNST_1/qc_violins.pdf	MPNST_1	pre-filter_QC	violins	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/qc_violins.png	MPNST_1	pre-filter_QC	violins	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/qc_scatter.pdf	MPNST_1	pre-filter_QC	scatter	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/qc_scatter.png	MPNST_1	pre-filter_QC	scatter	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/qc_histograms.pdf	MPNST_1	pre-filter_QC	histograms	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/qc_histograms.png	MPNST_1	pre-filter_QC	histograms	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/qc_metrics.pdf	MPNST_1	pre-filter_QC	metrics	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/qc_metrics.png	MPNST_1	pre-filter_QC	metrics	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_violins.pdf	MPNST_2	pre-filter_QC	violins	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_violins.png	MPNST_2	pre-filter_QC	violins	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_scatter.pdf	MPNST_2	pre-filter_QC	scatter	w=7;h=6	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_scatter.png	MPNST_2	pre-filter_QC	scatter	w=7;h=6	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_histograms.pdf	MPNST_2	pre-filter_QC	histograms	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_histograms.png	MPNST_2	pre-filter_QC	histograms	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_metrics.pdf	MPNST_2	pre-filter_QC	metrics	w=7;h=6	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_2/qc_metrics.png	MPNST_2	pre-filter_QC	metrics	w=7;h=6	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_violins.pdf	MPNST_3	pre-filter_QC	violins	w=10;h=8	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_violins.png	MPNST_3	pre-filter_QC	violins	w=10;h=8	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_scatter.pdf	MPNST_3	pre-filter_QC	scatter	w=7;h=6	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_scatter.png	MPNST_3	pre-filter_QC	scatter	w=7;h=6	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_histograms.pdf	MPNST_3	pre-filter_QC	histograms	w=10;h=8	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_histograms.png	MPNST_3	pre-filter_QC	histograms	w=10;h=8	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_metrics.pdf	MPNST_3	pre-filter_QC	metrics	w=7;h=6	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_3/qc_metrics.png	MPNST_3	pre-filter_QC	metrics	w=7;h=6	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_violins.pdf	MPNST_4	pre-filter_QC	violins	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_violins.png	MPNST_4	pre-filter_QC	violins	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_scatter.pdf	MPNST_4	pre-filter_QC	scatter	w=7;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_scatter.png	MPNST_4	pre-filter_QC	scatter	w=7;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_histograms.pdf	MPNST_4	pre-filter_QC	histograms	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_histograms.png	MPNST_4	pre-filter_QC	histograms	w=10;h=8	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_metrics.pdf	MPNST_4	pre-filter_QC	metrics	w=7;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_4/qc_metrics.png	MPNST_4	pre-filter_QC	metrics	w=7;h=6	f32811cf69595dcab9c5f5067efccbaa	scripts/R/generate_qc_plots.R	generate_qc_plots	472429e70d564c230ce08a2fb9d36e52ccadf0f0
reports/datasets/MPNST_1/filtered_qc_violins.pdf	MPNST_1	post-filter_QC	filtered_qc_violins	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_violins.png	MPNST_1	post-filter_QC	filtered_qc_violins	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_density.pdf	MPNST_1	post-filter_QC	filtered_qc_density	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_density.png	MPNST_1	post-filter_QC	filtered_qc_density	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_histograms.pdf	MPNST_1	post-filter_QC	filtered_qc_histograms	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_histograms.png	MPNST_1	post-filter_QC	filtered_qc_histograms	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_scatter.pdf	MPNST_1	post-filter_QC	filtered_qc_scatter	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_scatter.png	MPNST_1	post-filter_QC	filtered_qc_scatter	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtering_summary.pdf	MPNST_1	post-filter_QC	filtering_summary	w=8;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtering_summary.png	MPNST_1	post-filter_QC	filtering_summary	w=8;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/doublet_summary.pdf	MPNST_1	post-filter_QC	doublet_summary	w=9;h=5	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/doublet_summary.png	MPNST_1	post-filter_QC	doublet_summary	w=9;h=5	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_violins.pdf	MPNST_2	post-filter_QC	filtered_qc_violins	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_violins.png	MPNST_2	post-filter_QC	filtered_qc_violins	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_density.pdf	MPNST_2	post-filter_QC	filtered_qc_density	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_density.png	MPNST_2	post-filter_QC	filtered_qc_density	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_histograms.pdf	MPNST_2	post-filter_QC	filtered_qc_histograms	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_histograms.png	MPNST_2	post-filter_QC	filtered_qc_histograms	w=10;h=8	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_scatter.pdf	MPNST_2	post-filter_QC	filtered_qc_scatter	w=7;h=6	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_2/filtered_qc_scatter.png	MPNST_2	post-filter_QC	filtered_qc_scatter	w=7;h=6	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
