recommended_cluster	dataset	cell_count
MPNST_1_C00	MPNST_1	993
MPNST_1_C01	MPNST_1	627
MPNST_1_C02	MPNST_1	549
MPNST_1_C03	MPNST_1	546
MPNST_1_C04	MPNST_1	499
MPNST_1_C05	MPNST_1	447
MPNST_1_C06	MPNST_1	426
MPNST_1_C07	MPNST_1	403
MPNST_1_C08	MPNST_1	389
MPNST_1_C09	MPNST_1	382
MPNST_1_C10	MPNST_1	368
MPNST_1_C11	MPNST_1	335
MPNST_1_C12	MPNST_1	328
MPNST_1_C13	MPNST_1	309
MPNST_1_C14	MPNST_1	287
MPNST_1_C15	MPNST_1	284
MPNST_1_C16	MPNST_1	277
MPNST_1_C17	MPNST_1	166
MPNST_2_C00	MPNST_1	0
MPNST_2_C01	MPNST_1	0
MPNST_2_C02	MPNST_1	0
MPNST_2_C03	MPNST_1	0
MPNST_2_C04	MPNST_1	0
MPNST_2_C05	MPNST_1	0
MPNST_2_C06	MPNST_1	0
MPNST_2_C07	MPNST_1	0
MPNST_2_C08	MPNST_1	0
MPNST_3_C00	MPNST_1	0
MPNST_3_C01	MPNST_1	0
MPNST_3_C02	MPNST_1	0
MPNST_3_C03	MPNST_1	0
MPNST_3_C04	MPNST_1	0
MPNST_3_C05	MPNST_1	0
MPNST_3_C06	MPNST_1	0
MPNST_3_C07	MPNST_1	0
MPNST_3_C08	MPNST_1	0
MPNST_3_C09	MPNST_1	0
MPNST_3_C10	MPNST_1	0
MPNST_3_C11	MPNST_1	0
MPNST_3_C12	MPNST_1	0
MPNST_4_C00	MPNST_1	0
MPNST_4_C01	MPNST_1	0
MPNST_4_C02	MPNST_1	0
MPNST_4_C03	MPNST_1	0
MPNST_4_C04	MPNST_1	0
MPNST_4_C05	MPNST_1	0
MPNST_4_C06	MPNST_1	0
MPNST_4_C07	MPNST_1	0
MPNST_4_C08	MPNST_1	0
MPNST_4_C09	MPNST_1	0
MPNST_4_C10	MPNST_1	0
MPNST_4_C11	MPNST_1	0
MPNST_4_C12	MPNST_1	0
MPNST_4_C13	MPNST_1	0
MPNST_1_C00	MPNST_2	0
MPNST_1_C01	MPNST_2	0
MPNST_1_C02	MPNST_2	0
MPNST_1_C03	MPNST_2	0
