figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
combined/pre_integration/pca/pca_elbow.png	combined	pre_integration	variance_explained_elbow	pcs=1:25	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/pca/pca_by_dataset.png	combined	pre_integration	pca_colored_by_dataset	PC1_PC2	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/umap/preintegration_umap_by_dataset.png	combined	pre_integration	umap_colored_by_dataset	umap_preintegration	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/umap/preintegration_umap_faceted_by_dataset.png	combined	pre_integration	umap_faceted_by_dataset	umap_preintegration;split_by_dataset	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/umap/preintegration_umap_by_recommended_clusters.png	combined	pre_integration	umap_colored_by_recommended_clusters	umap_preintegration;M7_labels	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/umap/preintegration_umap_by_nFeature_RNA.png	combined	pre_integration	umap_colored_by_nFeature_RNA	umap_preintegration;continuous	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/umap/preintegration_umap_by_nCount_RNA.png	combined	pre_integration	umap_colored_by_nCount_RNA	umap_preintegration;continuous	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/umap/preintegration_umap_by_percent.mt.png	combined	pre_integration	umap_colored_by_percent_mt	umap_preintegration;continuous	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/umap/preintegration_umap_by_percent.ribo.png	combined	pre_integration	umap_colored_by_percent_ribo	umap_preintegration;continuous	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
combined/pre_integration/neighborhood_dataset_mixing.png	combined	pre_integration	neighborhood_dataset_mixing_boxplot	knn=15;pca_dims=1:30	6e4f6c863a902449e29d6e6d9ff418ef	scripts/R/analyze_pre_integration.R	run_pre_integration_analysis	21206cd963e07bfd66f64216284b1e3d97cd7139
