figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/datasets/MPNST_1/filtered_qc_violins_specific.pdf	MPNST_1	post-filter_QC	filtered_qc_violins	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_violins_specific.png	MPNST_1	post-filter_QC	filtered_qc_violins	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_density_specific.pdf	MPNST_1	post-filter_QC	filtered_qc_density	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_density_specific.png	MPNST_1	post-filter_QC	filtered_qc_density	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_histograms_specific.pdf	MPNST_1	post-filter_QC	filtered_qc_histograms	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_histograms_specific.png	MPNST_1	post-filter_QC	filtered_qc_histograms	w=10;h=8	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_scatter_specific.pdf	MPNST_1	post-filter_QC	filtered_qc_scatter	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtered_qc_scatter_specific.png	MPNST_1	post-filter_QC	filtered_qc_scatter	w=7;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtering_summary_specific.pdf	MPNST_1	post-filter_QC	filtering_summary	w=8;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/filtering_summary_specific.png	MPNST_1	post-filter_QC	filtering_summary	w=8;h=6	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/doublet_summary_specific.pdf	MPNST_1	post-filter_QC	doublet_summary	w=9;h=5	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
reports/datasets/MPNST_1/doublet_summary_specific.png	MPNST_1	post-filter_QC	doublet_summary	w=9;h=5	f523e61322c585b16e632e800dc12bde	scripts/R/filter_and_detect_doublets.R	filter_and_detect_doublets_specific	4e4c2aef7c9faf4a5adbcd0d0090f39d99737ac2
