cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	7615	9680	1447.5	None	None
0	708	1383	7	FALSE	FALSE
1	627	3520	232	FALSE	FALSE
2	597	3024	32	FALSE	FALSE
3	545	3126	115	FALSE	FALSE
4	544	1613	95	FALSE	FALSE
5	498	2908	126	FALSE	FALSE
6	447	429	1	FALSE	FALSE
7	389	3544	117	FALSE	FALSE
8	381	522	1	FALSE	FALSE
9	335	376	0	FALSE	FALSE
10	328	1426	84	FALSE	FALSE
11	312	661	4	FALSE	FALSE
12	297	1689	257	FALSE	FALSE
13	288	1567	13	FALSE	FALSE
14	287	453	1	FALSE	FALSE
15	284	593	74	FALSE	FALSE
16	277	1374	120	FALSE	FALSE
17	232	3176	189	FALSE	FALSE
18	168	1469	105	FALSE	FALSE
19	71	90	0	FALSE	FALSE
