gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PTHLH	0	0	3.65417866114259	0.684	0.102	0
TGFA	0	0	3.20503017096239	0.678	0.128	0
VEGFA	0	0	2.87470674010954	0.99	0.641	0
CRYAB	0	3.24844593239714e-277	2.15881467784002	0.969	0.472	8.98097846929836e-273
L1CAM	0	3.05709302394782e-271	2.62473581227075	0.704	0.159	8.45194508330853e-267
VIM	0	9.63079650875965e-260	1.5672779363973	1	0.995	2.66262631077678e-255
AP000462.2	0	3.90064292471375e-256	2.73389021031852	0.66	0.148	1.07841074939561e-251
S100A10	0	1.31792071685099e-249	1.80015177224402	0.999	0.824	3.64365540587792e-245
CADM1	0	5.95843776506672e-244	1.9281873926376	1	0.681	1.647329288908e-239
CXXC5	0	1.4464549848104e-236	2.35626623216516	0.917	0.468	3.99901409650532e-232
NDRG1	0	1.33944819499967e-230	2.26720569517837	0.949	0.617	3.70317242471559e-226
MAL	0	1.05919302217712e-207	2.48586726096934	0.59	0.136	2.9283509484131e-203
PMP22	0	2.37876698267945e-207	2.18366721585757	0.93	0.584	6.57657707701389e-203
GLUL	0	9.50389673487869e-201	2.72490637182922	0.862	0.453	2.62754233029191e-196
ESPN	0	7.06826615128907e-197	2.90268676907471	0.427	0.069	1.95416354284689e-192
TIMP3	0	6.20112545994113e-196	2.01953450168695	0.99	0.764	1.71442515590992e-191
GAPDH	0	1.88723540790846e-193	1.40139287654025	1	0.979	5.21763973224452e-189
BTG1	0	5.87084570843812e-181	1.49143060659498	0.996	0.794	1.62311271301189e-176
LGALS3	0	3.8069390774253e-180	1.60210063100441	0.987	0.807	1.05250444673577e-175
COL8A1	0	1.49517377310715e-177	1.58190889575835	0.977	0.644	4.13370693050933e-173
GSN	0	1.81231303670749e-173	1.75677411084161	0.993	0.867	5.01050185258521e-169
OLFM1	0	4.17027189840125e-170	3.28985535182033	0.494	0.123	1.15295507175099e-165
NXPH4	0	7.95592912648981e-170	2.92401326001982	0.373	0.061	2.19957572560064e-165
CDH19	0	1.79168429519018e-163	1.21127683225557	0.993	0.54	4.95346957091228e-159
NRN1	0	9.25399447602816e-159	1.93568038841154	0.808	0.403	2.5584518527875e-154
PHLDA3	0	3.98577588990149e-158	1.61891834003323	0.876	0.495	1.10194746028106e-153
CDK18	0	1.9728368701282e-155	2.32974879596295	0.536	0.147	5.45430209484343e-151
PGK1	0	2.46442369019651e-154	1.47655562222017	0.958	0.786	6.81339217628628e-150
ALDOA	0	1.13923853389738e-153	1.07319020180322	0.999	0.912	3.1496527746661e-149
PEBP1	0	7.23068457334245e-151	1.27236901857727	0.972	0.805	1.99906736399199e-146
CHPF	0	4.45443797076751e-150	1.91732522549629	0.793	0.411	1.23151846577809e-145
TAGLN2	0	1.11798920887636e-149	1.26687462733382	0.983	0.816	3.09090476578048e-145
RND3	0	7.64404411894301e-146	1.49556526957671	0.93	0.675	2.11334887756417e-141
MXI1	0	1.63111082151797e-145	2.12390834300191	0.682	0.282	4.50953208825074e-141
C4orf3	0	5.6858375755783e-143	1.33413390850319	0.937	0.707	1.57196351452013e-138
TCEAL7	0	2.22993161799321e-142	1.85166686990626	0.655	0.234	6.16509194426582e-138
SERPINE2	0	2.73556313800456e-141	0.258204812649379	0.987	0.62	7.56301140764121e-137
SORCS3	0	6.68920824055967e-139	2.11696684987556	0.506	0.137	1.84936540226753e-134
WBP5	0	3.71811746989049e-138	1.30209908195794	0.923	0.64	1.02794793690062e-133
RNASE1	0	9.48176917752488e-138	1.47799888771551	0.566	0.164	2.6214247245103e-133
EIF1	0	2.28946245025629e-137	0.952653201738022	1	0.973	6.32967683622357e-133
CAV1	0	2.77473965127189e-136	1.23523244695106	0.892	0.498	7.67132271387141e-132
GPM6B	0	1.80224587735136e-135	0.925195349642242	0.942	0.489	4.9826691771133e-131
ANXA2	0	9.24402431444113e-135	1.3038715101208	0.975	0.855	2.55569540221354e-130
FOXD3	0	1.74497624750394e-134	1.86967437120857	0.558	0.166	4.82433583147415e-130
RPS27L	0	3.0675696458774e-134	1.16781596613206	0.966	0.827	8.48090979995725e-130
SELM	0	2.33511266047941e-132	1.29551154181561	0.945	0.689	6.45588597242743e-128
DYNLT3	0	2.70968956374612e-132	2.03876630030896	0.644	0.255	7.4914787368889e-128
RARRES2	0	3.41867310503068e-132	1.14678068552065	0.867	0.467	9.45160553347833e-128
RASGEF1C	0	2.0591359065737e-129	1.75739046907203	0.574	0.179	5.69289304090431e-125
MT2A	0	2.13574530736815e-129	1.28119654429993	0.923	0.588	5.90469505128072e-125
LOX	0	4.31379292383827e-129	3.96965065809326	0.383	0.091	1.19263432965357e-124
ZNF395	0	3.07973421069821e-128	2.16601198004566	0.52	0.163	8.51454117231734e-124
DUSP23	0	1.20431126656552e-127	1.94897426632821	0.606	0.225	3.3295593586737e-123
PLP1	0	4.7246630138064e-125	1.48081609259238	0.694	0.26	1.30622758342706e-120
LMCD1	0	4.59545256568872e-124	1.88146471457067	0.603	0.223	1.27050477083596e-119
ADAMTS9-AS2	0	8.29192010272835e-124	1.21721876487708	0.934	0.638	2.29246715080131e-119
ADAMTS2	0	2.22386288026487e-123	1.97506668525741	0.56	0.192	6.14831370506829e-119
HS3ST5	0	3.50454204448166e-123	2.81293352497747	0.258	0.038	9.68900739037846e-119
PLP2	0	4.71337663087711e-123	1.53957905895865	0.778	0.397	1.3031072371386e-118
LGI4	0	9.71564382555937e-123	1.27288907969569	0.809	0.37	2.6860840484524e-118
OLFML2A	0	2.29655955862985e-120	2.37878181711175	0.386	0.092	6.34929821174394e-116
SOX10	0	7.36664506066353e-120	1.71834785294457	0.548	0.171	2.03665635992165e-115
FUNDC2	0	5.40305885872636e-117	1.99463963727105	0.665	0.307	1.49378368267208e-112
CHL1	0	6.7020496114438e-115	1.24571531286469	0.669	0.231	1.85291565607587e-110
SLC6A6	0	3.17768959096177e-113	2.09078946597021	0.59	0.239	8.785358412132e-109
SEPT9	0	3.84606591913908e-112	1.3723023707317	0.883	0.705	1.06332184466438e-107
FAM19A5	0	1.19823273434846e-111	1.90172089082346	0.542	0.186	3.31275404065317e-107
SAP30	0	1.95047052559793e-111	2.23929223869282	0.496	0.17	5.3924658621206e-107
ENO2	0	1.26015111493499e-110	1.69036148499099	0.666	0.31	3.48393978746077e-106
RP11-236F9.2	0	1.30869688452923e-108	1.60160535148798	0.478	0.141	3.61815427665796e-104
TPI1	0	6.69593801434063e-108	0.969153494074361	0.983	0.888	1.85122598282476e-103
S100A6	0	4.37070143047888e-107	0.692736671335384	1	0.869	1.2083678244845e-102
ITPK1	0	7.60037425118407e-106	1.70867887500846	0.571	0.214	2.10127546922486e-101
SH3PXD2A	0	1.01129069950532e-105	1.31099406962601	0.857	0.532	2.79591539692235e-101
SLC6A8	0	1.27002034846578e-105	2.11263221139573	0.424	0.122	3.51122525740333e-101
METRN	0	3.50813424812905e-105	1.89308926414078	0.743	0.433	9.69893875580238e-101
