gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
CYTL1	0	0	3.36905080558828	0.9	0.157	0	0.743
LRRC17	0	0	3.36062335447159	0.909	0.143	0	0.766
MDFI	0	0	3.33345100040394	0.871	0.117	0	0.754
RP4-678D15.1	0	0	3.13647099824051	0.706	0.1	0	0.606
MFAP2	0	0	3.05041160952273	0.853	0.131	0	0.722
MEST	0	0	3.00235875961076	0.986	0.366	0	0.62
CTHRC1	0	0	2.94297154241825	0.993	0.399	0	0.594
NPW	0	0	2.91531503167534	0.827	0.174	0	0.653
MFAP4	0	0	2.84119051293797	0.827	0.141	0	0.686
TMEM98	0	0	2.82294199519465	0.871	0.183	0	0.688
FBLN1	0	0	2.78620758131581	0.985	0.311	0	0.674
FMOD	0	0	2.76345929678683	0.761	0.123	0	0.638
RBP1	0	0	2.73054102336502	0.914	0.228	0	0.686
CRABP2	0	0	2.6096630136208	0.827	0.139	0	0.688
GPX8	0	0	2.37858651703023	0.988	0.406	0	0.582
LUM	0	0	1.8017913890317	0.981	0.337	0	0.644
PYCR1	0	2.08479029191733e-302	2.82463688594255	0.675	0.11	5.76381972006384e-298	0.565
EDN3	0	4.57696620611355e-300	3.55320007549732	0.567	0.074	1.26539384700421e-295	0.493
FKBP7	0	8.48330817564759e-299	2.6915694487944	0.782	0.169	2.34538021132129e-294	0.613
GAS2	0	7.47540744818489e-298	2.26151535855157	0.829	0.173	2.06672589719968e-293	0.656
SERPINE2	1	5.26359942088266e-204	1.7561401182259	1	0.627	1.45522733189143e-199	0.373
LGALS3	1	4.64152030236754e-202	2.20147834726182	0.996	0.811	1.28324111799555e-197	0.185
PTHLH	1	8.76850883309264e-195	2.59291607077968	0.59	0.122	2.42422963708512e-190	0.468
S100A10	1	1.47034876845076e-189	1.73587059450988	1	0.828	4.06507324013582e-185	0.172
NGEF	1	1.63552379422178e-187	3.5446433661779	0.319	0.031	4.52173263388495e-183	0.288
ESPN	1	9.68451298182398e-180	2.93813855442418	0.455	0.075	2.67747730408488e-175	0.38
AZGP1	1	3.38881968868851e-178	2.46706458930498	0.558	0.115	9.36906979331713e-174	0.443
MT2A	1	5.51913883291947e-174	2.00206081634757	0.97	0.592	1.52587631313725e-169	0.378
CAPS	1	5.18026099500799e-173	1.49481267474593	0.927	0.4	1.43218675728986e-168	0.527
SIX3	1	4.80119933449928e-166	2.55769410870292	0.474	0.086	1.32738758000902e-161	0.388
GSN	1	2.89548186438113e-161	2.25071559947258	0.994	0.869	8.0051387104545e-157	0.125
NXPH4	1	6.81094558210685e-160	3.2259722298199	0.403	0.066	1.88302212508508e-155	0.337
CXXC5	1	2.53900152213218e-158	1.78410559333817	0.909	0.478	7.01957750823885e-154	0.431
MAL	1	6.13705618292453e-156	2.27311620453174	0.59	0.145	1.69671192289315e-151	0.445
TGFA	1	1.59980694458e-155	2.4015481360248	0.582	0.147	4.42298625968032e-151	0.435
BTG1	1	4.30572128614774e-155	1.48641728435237	0.998	0.798	1.19040276398126e-150	0.2
CADM1	1	1.51687359130469e-154	1.54471734106559	1	0.688	4.19370041788007e-150	0.312
ADIRF	1	5.72727286611037e-154	1.62611259911752	0.862	0.342	1.58341912929354e-149	0.52
VEGFA	1	1.18323289402734e-153	2.04040302138558	0.948	0.652	3.27128398211738e-149	0.296
S100A6	1	5.3522899799356e-149	1.37894925016027	1	0.872	1.4797476107528e-144	0.128
ACPP	2	0	4.72190528809796	0.764	0.054	0	0.71
GRIA2	2	0	4.69420609388876	0.697	0.043	0	0.654
GAL3ST1	2	0	4.62235226922964	0.7	0.053	0	0.647
STON2	2	0	4.53741464465501	0.777	0.057	0	0.72
KLK6	2	0	4.44756981528912	0.406	0.022	0	0.384
ANO3	2	0	4.445248503379	0.414	0.022	0	0.392
DGUOK-AS1	2	0	4.14837910609206	0.558	0.04	0	0.518
SHH	2	0	4.07390367459888	0.747	0.089	0	0.658
LPL	2	0	4.04952010496128	0.989	0.23	0	0.759
FSTL5	2	0	3.91782670073651	0.828	0.096	0	0.732
SERPINE2	2	0	3.91507025432261	1	0.627	0	0.373
CAPS	2	0	3.63433769229952	0.998	0.395	0	0.603
BMP8B	2	0	3.57386305330646	0.682	0.072	0	0.61
TMEM132B	2	0	3.56504477993995	0.8	0.096	0	0.704
PLLP	2	0	3.48352102723357	0.588	0.061	0	0.527
FREM1	2	0	3.45897745825678	0.869	0.199	0	0.67
GAP43	2	0	3.38156492601456	0.994	0.265	0	0.729
KLHDC8A	2	0	3.36522081452085	0.824	0.117	0	0.707
PLEKHB1	2	0	3.36506867229479	0.785	0.103	0	0.682
EXTL1	2	0	3.34853165322902	0.567	0.058	0	0.509
GJB6	3	0	5.94821412387729	0.397	0.009	0	0.388
GFRA3	3	0	5.76981771090903	0.504	0.016	0	0.488
PCSK2	3	0	5.46778917345937	0.326	0.012	0	0.314
XKR4	3	0	4.60043652935697	0.868	0.088	0	0.78
NOV	3	0	4.41793978061135	0.743	0.12	0	0.623
RP11-176N18.2	3	0	4.3321821861215	0.445	0.026	0	0.419
GJB2	3	0	4.25060570527096	0.609	0.066	0	0.543
ABCB5	3	0	4.06919642525413	0.603	0.053	0	0.55
RSPO3	3	0	4.03965968378746	0.609	0.053	0	0.556
TMEM59L	3	0	4.01498588008945	0.771	0.107	0	0.664
NGFR	3	0	3.89221909496087	0.899	0.123	0	0.776
SEMA3B	3	0	3.81982799403511	0.941	0.199	0	0.742
DIRAS3	3	0	3.80046470318074	0.82	0.132	0	0.688
CADM2	3	0	3.61289454655038	0.684	0.099	0	0.585
KCNS3	3	0	3.57532842350271	0.63	0.071	0	0.559
INSC	3	0	3.49778288783381	0.613	0.056	0	0.557
MMP17	3	0	3.29234951022996	0.68	0.097	0	0.583
LGI1	3	0	3.28411684156095	0.64	0.076	0	0.564
TSPAN11	3	0	3.1903686902586	0.919	0.192	0	0.727
FOXD3	3	0	3.10715347958566	0.885	0.153	0	0.732
L1CAM	4	4.61580698621443e-307	2.918516703575	0.855	0.166	1.2761321574787e-302	0.689
PTHLH	4	1.56959292010803e-298	3.3836132168183	0.729	0.118	4.33945354622268e-294	0.611
