resolution	score	n_clusters	min_size	median_size	stability_score	prop_robust	weak_clusters	small_clusters	covariate_concern
0.6	0.9188	18	166	385.5	0.9188	1.0000	0	0	None
0.3	0.9058	15	166	378.0	0.9058	1.0000	0	0	None
0.5	0.8992	18	168	375.0	0.8992	1.0000	0	0	None
0.1	0.8971	8	277	491.5	0.9971	1.0000	0	0	None
0.4	0.8792	16	166	375.0	0.8792	1.0000	0	0	None
0.7	0.8662	20	71	331.5	0.8662	1.0000	0	0	None
0.8	0.8626	21	71	335.0	0.8626	1.0000	0	0	None
1.0	0.7791	21	71	357.0	0.8791	1.0000	0	0	None
0.9	0.7637	21	71	363.0	0.8637	1.0000	0	0	None
0.2	0.7083	12	277	374.5	0.8083	1.0000	0	0	None
