gene	cluster	rank	p_val_adj	avg_log2FC	pct.1	pct.2
CCDC80	0	1	0	4.96534150278269	0.996	0.426
FBLN1	0	2	0	4.46285074419379	0.996	0.579
THY1	0	3	0	4.44829792486061	0.985	0.294
COL14A1	0	4	0	4.2758222442377	0.992	0.269
EFEMP1	0	5	2.91920311203028e-295	3.81924700518972	0.972	0.382
C1QC	1	1	0	8.67464212662859	0.891	0.023
C1QB	1	2	0	7.956136666014	0.869	0.036
C1QA	1	3	0	7.16751485103327	0.932	0.095
CSF1R	1	4	2.20180872903847e-302	5.02556450413512	0.869	0.061
CD163	1	5	9.83771793655091e-295	6.73377966344736	0.742	0.024
CDH19	2	1	8.16016777446455e-236	3.7779103690779	0.833	0.089
ABCA10	2	2	2.1316186848081e-224	4.35963366863486	0.806	0.097
ANGPTL7	2	3	1.74876595299668e-221	4.89486922223321	0.909	0.188
GPC3	2	4	6.47548704749313e-214	3.48161746060791	0.93	0.199
PAMR1	2	5	1.57850564870582e-209	5.27517124640472	0.602	0.029
SLC22A3	3	1	6.26428760148906e-235	5.74191994849469	0.764	0.05
SLC2A1	3	2	4.81148286442693e-181	5.14122354201308	0.772	0.094
KLF5	3	3	2.75892906895471e-176	4.34004262455607	0.736	0.079
TNNC1	3	4	4.47412624601595e-175	6.32838135328926	0.644	0.052
WNT6	3	5	1.3751083602943e-173	5.21546116654742	0.524	0.021
CD1C	4	1	0	7.45669665091606	0.824	0.019
LGALS2	4	2	3.67653753979511e-259	5.51124093950658	0.841	0.038
CD1E	4	3	7.2055816036433e-208	7.21449574849943	0.511	0.006
IL1R2	4	4	5.33317952448542e-199	5.94240309724424	0.631	0.025
FCER1A	4	5	4.47521909093953e-190	5.45137427442665	0.881	0.1
ECSCR	5	1	0	10.0162524100578	0.937	0.003
SOX18	5	2	0	9.85676453647239	0.775	0.004
MYCT1	5	3	0	9.42856011658111	0.757	0.002
AC011526.1	5	4	0	9.27811753712368	0.829	0.003
CLDN5	5	5	0	8.99764853795386	0.874	0.006
MAL	6	1	1.82285856206636e-203	9.22965604816703	0.468	0.002
MT3	6	2	8.2414276973003e-147	8.4864041911534	0.405	0.006
PMP2	6	3	6.50961777558683e-134	6.90540290033343	0.532	0.023
PLLP	6	4	3.03224261397871e-119	6.87601909355233	0.396	0.011
LPL	6	5	1.74428915956012e-109	7.02638182861613	0.414	0.015
GZMA	7	1	4.80889446269184e-276	9.73194195171733	0.684	0.005
CD3D	7	2	1.94033410402759e-264	8.82716635089474	0.633	0.004
GZMM	7	3	1.94884769516224e-239	9.38774469298894	0.532	0.001
CD3E	7	4	1.14689246780512e-203	7.44663838204251	0.519	0.004
GZMH	7	5	1.02353703194433e-194	10.1065629404449	0.418	0
IGJ	8	1	0	11.2764515923479	1	0.007
TCL1A	8	2	0	10.7049723209903	0.75	0.002
LILRA4	8	3	0	10.4698490536402	1	0.004
CLEC4C	8	4	0	10.2421816902631	0.833	0.001
LRRC26	8	5	0	9.48425647746127	0.875	0.003
