PC	Rank	Pos_Gene	Pos_Loading	Neg_Gene	Neg_Loading
PC_1	1	CD74	0.135878768738725	SFRP2	-0.0805582222374283
PC_1	2	HLA-DRA	0.132910693477623	DCN	-0.0799928371911205
PC_1	3	HLA-DRB1	0.13126293066728	COL1A1	-0.076207808173989
PC_1	4	TYROBP	0.118870582899053	COL1A2	-0.0755642915033403
PC_1	5	HLA-DPA1	0.118070946938791	PLA2G2A	-0.0738509031775793
PC_1	6	HLA-DPB1	0.116575865835729	COL3A1	-0.0704934161605925
PC_1	7	SRGN	0.104323951823798	MGP	-0.0697591747111271
PC_1	8	AIF1	0.100681606351909	FBLN1	-0.0684981773515307
PC_1	9	LYZ	0.0975805679825619	CXCL14	-0.0678353967101342
PC_1	10	FCER1G	0.0959272816983077	SFRP4	-0.0631263482367506
PC_2	1	SFRP2	0.146477146378686	PTGDS	-0.113100597904116
PC_2	2	PLA2G2A	0.139139105078756	APOD	-0.100529792913052
PC_2	3	FBLN1	0.123846953003846	SPARCL1	-0.0879610185947616
PC_2	4	CXCL14	0.116631513796452	A2M	-0.0852053561093533
PC_2	5	CCDC80	0.111240375742693	GPC3	-0.0758570781652789
PC_2	6	COL3A1	0.101456146084202	ANGPTL7	-0.0725015859829616
PC_2	7	COMP	0.10113994880067	ADIRF	-0.0683998327602473
PC_2	8	COL1A1	0.095103000027047	BCAM	-0.0649642818962144
PC_2	9	COL1A2	0.0911590319843039	ITGA6	-0.0632531545745387
PC_2	10	THY1	0.0893708622452061	CDH19	-0.0624259385297711
PC_3	1	VWF	0.0977609407755803	APOD	-0.162488971166484
PC_3	2	ELTD1	0.094542035513243	PTGDS	-0.136215158749328
PC_3	3	EMCN	0.0912483773586612	ANGPTL7	-0.106263137302949
PC_3	4	CD93	0.0898325182070907	GPC3	-0.105495451055971
PC_3	5	ECSCR	0.0881585355277075	ABCA8	-0.0861326712374649
PC_3	6	PLVAP	0.0857370977166138	APOE	-0.0835492395634819
PC_3	7	HSPG2	0.0827306500446516	CDH19	-0.0827992192683167
PC_3	8	EGFL7	0.0811276215835386	PTCH1	-0.0747306951784349
PC_3	9	MMRN2	0.0793561580611262	LUM	-0.0693348507689417
PC_3	10	EPAS1	0.0784250848775865	LHFP	-0.0663033358285549
PC_4	1	CD52	0.097795034625248	C1QC	-0.140922737427129
PC_4	2	CXCR4	0.0903920365384731	C1QA	-0.139018346893609
PC_4	3	RGS1	0.074121394410572	C1QB	-0.131755375405427
PC_4	4	PTPRCAP	0.0732726783790581	CD14	-0.116545962235801
PC_4	5	CST7	0.0727157808484891	FOLR2	-0.106602682404226
PC_4	6	CD1C	0.0716774585307652	RNASE1	-0.106063949703496
PC_4	7	FCER1A	0.0709055998839441	FTL	-0.105622378240469
PC_4	8	RPS27	0.069335255380974	STAB1	-0.0950934200585895
PC_4	9	PLAC8	0.069053860756833	SEPP1	-0.0938308720103521
PC_4	10	C12orf75	0.0678807320374403	CD163	-0.092674154072131
PC_5	1	ANGPTL7	0.100317851345188	ADIRF	-0.162211415147431
PC_5	2	APOD	0.0912652648602494	IGFBP6	-0.152499796281325
PC_5	3	SPARCL1	0.0826150304775261	TNNC1	-0.136792919112866
PC_5	4	CXCL12	0.0800676042003553	SLC2A1	-0.136032389653824
PC_5	5	ABCA8	0.0798424100121301	CSRP1	-0.133397817992223
PC_5	6	LUM	0.0768872163844779	TAGLN	-0.128373525268836
PC_5	7	CDH19	0.0749076629048032	SLC22A3	-0.127085451802469
PC_5	8	FN1	0.0683406130828934	ITGA6	-0.114897569966238
PC_5	9	ABCA10	0.0680391738190465	KRT19	-0.106796853699555
PC_5	10	SRPX	0.0665387997203007	CAV1	-0.103935362310822
PC_6	1	IL1B	0.117092269674224	SPARC	-0.0805116025488694
PC_6	2	IER3	0.116122411117155	C1QB	-0.0743958782144929
PC_6	3	PLAUR	0.112800137465652	C1QC	-0.071492654387202
PC_6	4	DUSP2	0.111829737323682	ALOX5AP	-0.0703904073048063
PC_6	5	IL8	0.107440382723794	PTPRCAP	-0.0697616037702013
PC_6	6	BCL2A1	0.0920345786303272	CYBB	-0.0694280637809549
PC_6	7	NFKBIA	0.0852153020130579	FOLR2	-0.0683304960885437
PC_6	8	CD83	0.0846570852691299	MAF	-0.0669183016624483
PC_6	9	FCER1A	0.0836359065118343	C12orf75	-0.0658484094807927
PC_6	10	TNFAIP3	0.0830170975174592	C1QA	-0.0650836882204834
PC_7	1	SPARC	0.137899762445615	C7	-0.150818410908801
PC_7	2	COL1A1	0.130423348179975	IGF1	-0.113204244123925
PC_7	3	LUM	0.121351367409998	C11orf96	-0.110310989913046
PC_7	4	COL3A1	0.119748050482841	RARRES1	-0.109930684605609
PC_7	5	COL1A2	0.104937925051334	FGF7	-0.106033328474532
PC_7	6	PI16	0.0975388545952542	HP	-0.100208487902277
