gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FOLR2	0	0	4.16608507356006	0.96	0.129	0
DAB2	0	0	4.81310198524997	0.931	0.121	0
SLCO2B1	0	0	4.49374850549102	0.871	0.065	0
CD163	0	0	3.75278335344994	0.918	0.117	0
TMEM176B	0	0	3.5118897968998	0.958	0.165	0
F13A1	0	0	4.47558084273088	0.92	0.129	0
LGMN	0	0	4.53574924468538	0.893	0.11	0
SEPP1	0	0	4.32770631367138	0.982	0.222	0
PLTP	0	0	5.18833979610668	0.955	0.204	0
STAB1	0	1.5211691359169e-307	4.12505407340032	0.971	0.216	2.75270766835522e-303
MS4A4A	0	1.17490954809365e-298	3.39413874307893	0.938	0.15	2.12611631823027e-294
MS4A7	0	5.99201978110345e-292	3.43420887141856	0.933	0.154	1.08431589958848e-287
C2	0	2.25660990332504e-288	4.44594246296675	0.737	0.064	4.083561281057e-284
LYVE1	0	4.69792839788497e-288	4.55940051275003	0.744	0.066	8.50137122881264e-284
C1QC	0	6.58077666465251e-288	3.60954270413557	0.996	0.253	1.19085734523552e-283
APOC1	0	3.2872824400281e-281	3.8882513274658	0.706	0.051	5.94866630347486e-277
CD68	0	6.78561412294342e-280	3.13954406637299	0.962	0.193	1.22792473168784e-275
C1QB	0	1.34848003888738e-275	3.8410902597697	0.998	0.316	2.44020947837061e-271
RNASE1	0	2.74298858387886e-274	5.13215014539422	0.989	0.381	4.96371214138718e-270
CSF1R	0	2.71440789703499e-272	3.26173342177163	0.915	0.164	4.91199253047452e-268
C1QA	0	4.22848134814728e-271	3.96909730561034	1	0.377	7.65185984760731e-267
GPR34	0	1.42007886539317e-270	4.16838810592718	0.695	0.056	2.56977471481549e-266
MAF	0	1.60358669637446e-270	3.63623812374812	0.849	0.126	2.90185048575922e-266
SIGLEC1	0	1.07449101676786e-269	3.641862672942	0.811	0.104	1.94439894394311e-265
APOE	0	1.84346859493603e-264	4.49490063822054	0.871	0.169	3.33594076939623e-260
VSIG4	0	2.57325611330368e-262	3.21699038103802	0.853	0.124	4.65656426263435e-258
CFD	0	7.8240028795976e-258	3.34767956853754	0.918	0.186	1.41583156109198e-253
FCGR3A	0	2.46629918159289e-256	2.8815254953949	0.913	0.154	4.46301499901049e-252
CD209	0	2.42216858387839e-250	5.43936980904326	0.532	0.02	4.38315626938633e-246
NINJ1	0	8.16231204752965e-250	3.24090520716994	0.913	0.208	1.47705198812097e-245
SLC40A1	0	1.3888219995152e-246	4.00369877708022	0.67	0.06	2.5132122903227e-242
FCGRT	0	1.76796259450968e-243	3.29778201302409	0.993	0.508	3.19930511102471e-239
CD14	0	3.58536480280229e-239	2.84485968465056	0.998	0.328	6.48807614715102e-235
COLEC12	0	2.77856011149525e-236	4.90670723590272	0.508	0.018	5.02808237776181e-232
TMEM176A	0	5.39199775436532e-235	3.24909235578159	0.795	0.12	9.75735913629948e-231
KCTD12	0	7.66060207759218e-228	2.98748794903384	0.853	0.166	1.38626255196108e-223
GLUL	0	7.80408159916053e-221	2.62600141854251	0.935	0.232	1.41222660618409e-216
HMOX1	0	1.22710178480653e-217	3.50050682369646	0.777	0.126	2.22056338978589e-213
CYBB	0	1.29048394960049e-217	2.81986097492	0.84	0.154	2.33525975519705e-213
