PC	Technical_Metric	Pearson_R	Pearson_P	Spearman_R	Spearman_P
PC_1	nCount_RNA	-0.258461121559961	4.41418091818429e-46	0.0858943759316328	3.10143028367094e-06
PC_2	nCount_RNA	-0.499428889475806	2.6260462285836e-185	-0.50220347665123	1.12277873270811e-187
PC_3	nCount_RNA	-0.181139733572925	4.1820232451359e-23	-0.346453216226577	1.12350383126034e-83
PC_4	nCount_RNA	0.137955262082397	5.7812034380756e-14	0.131796101986092	7.2574891954153e-13
PC_5	nCount_RNA	0.0232705252695026	0.20716360736888	-0.177223910483035	3.59463899913324e-22
PC_6	nCount_RNA	-0.0810137970974919	1.09215910627785e-05	-0.197573121211274	2.92357857134813e-27
PC_7	nCount_RNA	0.22074288293186	8.93647645654764e-34	-0.0725880456691013	8.16939260797964e-05
PC_8	nCount_RNA	-0.157959476763734	6.97353247801547e-18	-0.193679609585203	3.05457723464721e-26
PC_9	nCount_RNA	0.0316962461905732	0.0857369255453104	0.119894204748204	6.95393639111433e-11
PC_10	nCount_RNA	-0.132088092282137	6.45403727819748e-13	-0.133806101961452	3.21913384290499e-13
PC_11	nCount_RNA	-0.0606960208157993	0.000992366891432345	-0.0261812543154446	0.155830969190469
PC_12	nCount_RNA	-0.224835938564519	5.23585132611659e-35	-0.0441253195030568	0.0167248774890956
PC_13	nCount_RNA	-0.0390170129674542	0.0343892945118502	-0.0784429564803449	2.06200095047634e-05
PC_14	nCount_RNA	-0.0201451021329244	0.274855374710764	0.0867918375631857	2.44215186881703e-06
PC_15	nCount_RNA	0.181926082305232	2.6989497819312e-23	-0.133287740282024	3.97464737744317e-13
PC_1	nFeature_RNA	-0.262828080203971	1.20075592458042e-47	0.0362845669868182	0.0491573408428484
PC_2	nFeature_RNA	-0.599812119107337	7.8100085396504e-287	-0.531098471511116	1.07363363444804e-213
PC_3	nFeature_RNA	-0.271222141938971	9.68998452078236e-51	-0.380672597591454	5.13593291879802e-102
PC_4	nFeature_RNA	0.141122374823775	1.50449034333976e-14	0.14123246672315	1.43491633096743e-14
PC_5	nFeature_RNA	-0.0815208533031559	9.6133426153403e-06	-0.200538539240771	4.73476365031253e-28
PC_6	nFeature_RNA	-0.0659057083809326	0.000349035240817924	-0.169079759431755	2.69534951845664e-20
PC_7	nFeature_RNA	0.099912513953432	5.67604901800647e-08	-0.0414842553368467	0.0244895156948634
PC_8	nFeature_RNA	-0.122486392898231	2.67001736898403e-11	-0.128454523838357	2.72837935512714e-12
PC_9	nFeature_RNA	0.01458274520543	0.429289539253052	0.0767159181129858	3.12663758275226e-05
PC_10	nFeature_RNA	-0.0737585136695677	6.25259188120798e-05	-0.0804420508903805	1.26003127318022e-05
PC_11	nFeature_RNA	-0.0574906813636796	0.00181774103081586	-0.0269332198261351	0.144287167320728
PC_12	nFeature_RNA	-0.0867017861857764	2.50168517091443e-06	-0.000830955793723485	0.964078025229586
PC_13	nFeature_RNA	-0.0366320414561142	0.047024895499425	-0.0778076888906635	2.40558664115976e-05
PC_14	nFeature_RNA	0.00501827760847767	0.785632876718015	0.0567464068398154	0.00208351321336517
PC_15	nFeature_RNA	0.0680127297722243	0.000223834965271517	-0.111823885927672	1.20342403288365e-09
PC_1	percent.mt	3.98812173853064e-18	1	-0.00768682713645596	0.676954724337542
PC_2	percent.mt	1.12260780342129e-17	1	0.00473788591041046	0.797341862696214
PC_3	percent.mt	8.14371608679241e-18	1	-0.012175294312738	0.509311785854028
PC_4	percent.mt	-2.13491673544387e-17	0.999999999999999	0.08971592898387	1.10298031475945e-06
PC_5	percent.mt	6.09644062683426e-18	1	0.136374913629048	1.11878487045557e-13
PC_6	percent.mt	3.43868695848732e-18	1	-0.0434356752325491	0.0185092983813279
PC_7	percent.mt	-1.85840097516516e-17	0.999999999999999	0.170197286932319	1.50924713837022e-20
PC_8	percent.mt	1.46194450877257e-17	0.999999999999999	0.0605896846082955	0.00101295847237254
PC_9	percent.mt	2.32380292321967e-17	0.999999999999999	-0.0412358553058302	0.0253595615758427
PC_10	percent.mt	1.19795926797073e-17	1	0.0263960815383041	0.152463796092558
PC_11	percent.mt	-1.1283877968293e-17	1	0.0345036081034224	0.0613994406490929
PC_12	percent.mt	-4.27500221240444e-17	0.999999999999998	-0.00958275649903729	0.603492321515153
PC_13	percent.mt	2.66300994188101e-17	0.999999999999999	-0.0567252635161015	0.0020915589523552
PC_14	percent.mt	-2.79138464509453e-18	1	-0.027685834121332	0.133401054972416
PC_15	percent.mt	1.06132695588256e-17	1	0.0311937620804286	0.0908228358342926
PC_1	percent.ribo	-0.153090928634796	7.02710563182128e-17	-0.117832473938563	1.4676109134877e-10
PC_2	percent.ribo	0.42510142889153	2.38603865876446e-129	0.497496843840268	1.13777737906546e-183
PC_3	percent.ribo	0.571278924565945	2.35305029251158e-254	0.469712503766647	2.93178189815992e-161
PC_4	percent.ribo	-0.352035292519916	1.62406131041051e-86	-0.486474647297195	1.5672365462475e-174
PC_5	percent.ribo	0.0594775463570411	0.00125330559471375	0.204727638765662	3.44337704846193e-29
PC_6	percent.ribo	0.0430387900443877	0.0196099595618694	0.0961387253715291	1.76337020637217e-07
PC_7	percent.ribo	0.0875336193865336	2.00088387948754e-06	0.115819524876005	3.00588696335421e-10
PC_8	percent.ribo	0.0799702419182267	1.41682241506642e-05	0.0847143572090936	4.23142906492146e-06
PC_9	percent.ribo	0.118060873846593	1.3519134310236e-10	0.0911382282554028	7.42599230718793e-07
PC_10	percent.ribo	-0.144398142048137	3.61922601850452e-15	-0.106045569715729	8.22451042687285e-09
PC_11	percent.ribo	-0.124685567038277	1.16661997618784e-11	-0.138892331696488	3.89433539446416e-14
PC_12	percent.ribo	-0.0928931332881087	4.52099153056585e-07	-0.110390470211698	1.95659385351045e-09
PC_13	percent.ribo	0.144229394722864	3.89800022360011e-15	0.188321394084808	7.11562633861011e-25
PC_14	percent.ribo	0.176849661829285	4.40381758963142e-22	0.171272184285181	8.60773604526734e-21
PC_15	percent.ribo	-0.0935785106224258	3.71536951338447e-07	-0.0778937943564207	2.35601644555785e-05
