figure_path	dataset	processing_stage	analysis_method	parameters	input_object_checksum	generating_script	snakemake_rule	git_commit
reports/qc_optimization/sensitivity_mt.pdf	all	QC_threshold_optimization	sensitivity_mt	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/sensitivity_mt.png	all	QC_threshold_optimization	sensitivity_mt	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/sensitivity_ribo.pdf	all	QC_threshold_optimization	sensitivity_ribo	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/sensitivity_ribo.png	all	QC_threshold_optimization	sensitivity_ribo	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/sensitivity_features.pdf	all	QC_threshold_optimization	sensitivity_features	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/sensitivity_features.png	all	QC_threshold_optimization	sensitivity_features	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/sensitivity_counts.pdf	all	QC_threshold_optimization	sensitivity_counts	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/sensitivity_counts.png	all	QC_threshold_optimization	sensitivity_counts	w=6.0;h=4.5	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/distribution_comparison.pdf	all	QC_threshold_optimization	distribution_comparison	w=9.0;h=7.0	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/distribution_comparison.png	all	QC_threshold_optimization	distribution_comparison	w=9.0;h=7.0	multiple	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_1.pdf	MPNST_1	QC_threshold_optimization	overlap_plot	w=7;h=5	f523e61322c585b16e632e800dc12bde	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_1.png	MPNST_1	QC_threshold_optimization	overlap_plot	w=7;h=5	f523e61322c585b16e632e800dc12bde	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_2.pdf	MPNST_2	QC_threshold_optimization	overlap_plot	w=7;h=5	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_2.png	MPNST_2	QC_threshold_optimization	overlap_plot	w=7;h=5	cd15a88b7f70a6492a1f05c94725cd8c	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_3.pdf	MPNST_3	QC_threshold_optimization	overlap_plot	w=7;h=5	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_3.png	MPNST_3	QC_threshold_optimization	overlap_plot	w=7;h=5	ecaca4b46e0a23f7bb8798cdb6adf280	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_4.pdf	MPNST_4	QC_threshold_optimization	overlap_plot	w=7;h=5	f32811cf69595dcab9c5f5067efccbaa	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
reports/qc_optimization/overlap_MPNST_4.png	MPNST_4	QC_threshold_optimization	overlap_plot	w=7;h=5	f32811cf69595dcab9c5f5067efccbaa	scripts/R/qc_optimization_review.R	qc_optimization_review	7d953d7016529a5f7ce493c11f554345796f6e79
