dataset	stage	metric	n_cells	min	q25	median	q75	max	mean	sd
MPNST_1	Pre-filter	nCount_RNA	8338	500	3571	8145	15606	67368	11068.2817222355	10078.3115198523
MPNST_1	Post-filter	nCount_RNA	7615	500	3166.5	7503	13817.5	67368	9986.66513460276	9218.00023768389
MPNST_1	Pre-filter	nFeature_RNA	8338	231	1876	3337	5204.75	8989	3578.50611657472	2134.59116502158
MPNST_1	Post-filter	nFeature_RNA	7615	231	1740.5	3139	4812.5	8934	3350.63847669074	2022.67175431559
MPNST_1	Pre-filter	percent.mt	8338	0	0	0	0	0	0	0
MPNST_1	Post-filter	percent.mt	7615	0	0	0	0	0	0	0
MPNST_1	Pre-filter	percent.ribo	8338	0.0777864207134126	2.67361906492152	4.22030660688739	6.86852949307769	45.0021029020048	5.16927498263086	3.51895131309082
MPNST_1	Post-filter	percent.ribo	7615	0.0777864207134126	2.66649877931398	4.27886998182719	7.02595139166977	19.7553956834532	5.19715324332687	3.4171873359797
MPNST_2	Pre-filter	nCount_RNA	2830	503	4388.25	7657.5	14415.5	57697	10524.0222614841	8878.04491627423
MPNST_2	Post-filter	nCount_RNA	1516	503	5345.5	8936	16110.5	57697	11848.2203166227	9302.58256694317
MPNST_2	Pre-filter	nFeature_RNA	2830	278	1660.25	2419.5	3585	8007	2650.05618374558	1362.0379287001
MPNST_2	Post-filter	nFeature_RNA	1516	289	2007.5	2754	3826.5	8007	2936.07387862797	1318.14968668909
MPNST_2	Pre-filter	percent.mt	2830	0.192141792800565	5.41263232311589	7.10211661129802	9.02081234466399	19.9864956110736	7.57913452390087	3.2405347962833
MPNST_2	Post-filter	percent.mt	1516	0.232018561484919	4.99168482010983	6.46630238744383	7.83261350039686	9.98100303951368	6.37673645148163	1.92648183615884
MPNST_2	Pre-filter	percent.ribo	2830	2.34948604992658	11.5411581124716	15.6675697532929	20.8619186073333	54.7104937422638	17.1707264886251	7.73402883805969
MPNST_2	Post-filter	percent.ribo	1516	2.34948604992658	10.4308502791841	13.6023931653425	16.4208962385335	20	13.311734374604	3.85591722188261
MPNST_3	Pre-filter	nCount_RNA	3682	503	2223.75	4137.5	8176.5	93016	6795.48750678979	8671.61662653886
MPNST_3	Post-filter	nCount_RNA	1918	505	3729.75	6137.5	9656	93016	8853.17622523462	10192.2466499192
MPNST_3	Pre-filter	nFeature_RNA	3682	210	1020.5	1558.5	2375.5	8750	1927.4092884302	1351.76627652169
MPNST_3	Post-filter	nFeature_RNA	1918	210	1463	2005.5	2727.75	8750	2357.56569343066	1442.14326517834
MPNST_3	Pre-filter	percent.mt	3682	0	2.03465210235813	2.89408388734133	4.24413333835725	19.835466179159	3.73161714501102	2.89586172360046
MPNST_3	Post-filter	percent.mt	1918	0	1.93081296706428	2.68799793860382	4.00941248377837	9.90486849468383	3.23348184702038	1.85527467966745
MPNST_3	Pre-filter	percent.ribo	3682	1.75300889586604	11.3364953421085	16.7725971829959	24.2388418257681	58.602978941962	18.4769996560512	9.20029673901259
MPNST_3	Post-filter	percent.ribo	1918	1.75300889586604	9.19355990886859	12.7936937052624	16.2294615194692	19.9727891156463	12.6557340588378	4.23432633767492
MPNST_4	Pre-filter	nCount_RNA	7811	501	3155	5244	7724	79810	6154.95071053642	5082.82795329725
MPNST_4	Post-filter	nCount_RNA	3390	509	4344.25	6094.5	8405.25	66635	6823.61563421829	4269.64170819614
MPNST_4	Pre-filter	nFeature_RNA	7811	280	1511	2179	2740	8952	2199.3413135322	1068.00008032881
MPNST_4	Post-filter	nFeature_RNA	3390	315	1953.5	2389	2840.75	8242	2412.61327433628	877.194501897015
MPNST_4	Pre-filter	percent.mt	7811	0.0687156421789105	5.88385628684478	8.09360110970388	10.7076862248608	19.9806482825351	8.59046323423408	3.91341080629255
MPNST_4	Post-filter	percent.mt	3390	0.665033251662583	5.20181112998914	7.05174428494302	8.52088025522006	10	6.73882213022374	2.11257419440397
MPNST_4	Pre-filter	percent.ribo	7811	1.69201845838318	11.9149658691337	15.5181868031438	19.603827707113	45.0952036635334	16.1732718097611	6.05069017424869
MPNST_4	Post-filter	percent.ribo	3390	3.19183942086213	11.8406961777046	14.8023730045176	17.2971045779	20	14.3667406255988	3.59754510029058
